epoch,c1_acc,c1_loss,c2_acc,c2_loss,c3_acc,c3_loss,c4_acc,c4_loss,loss,val_c1_acc,val_c1_loss,val_c2_acc,val_c2_loss,val_c3_acc,val_c3_loss,val_c4_acc,val_c4_loss,val_loss
0,0.7090078,1.055431,0.6738203,1.1813991,0.6749219,1.1753376,0.7121406,1.0369437,4.449109687447548,0.91867185,0.25874114,0.8632031,0.55447465,0.8596875,0.5052141,0.90351564,0.313228,1.6316579413414
1,0.9845,0.044638745,0.9765469,0.070944905,0.9771094,0.0701329,0.98464847,0.0452254,0.2309419768191874,0.98078126,0.054686345,0.9653906,0.110111386,0.9672656,0.10183035,0.9803125,0.055980016,0.32260812789201737
2,0.988625,0.031719387,0.9836094,0.047953274,0.98354685,0.048348058,0.98916405,0.0317843,0.15980498759448528,0.9832031,0.048940245,0.9764063,0.06713075,0.95671874,0.15521117,0.9859375,0.048969217,0.3202513101696968
3,0.99107033,0.02508282,0.9870703,0.03748867,0.9870625,0.036692884,0.9908438,0.025718927,0.12498328408226371,0.98945314,0.030095423,0.9867188,0.035736617,0.9840625,0.045421395,0.98695314,0.03869402,0.14994746465235947
4,0.99258596,0.021158004,0.9895781,0.030460665,0.9895,0.030389082,0.99225783,0.021247474,0.10325521285645664,0.9857031,0.041370187,0.97382814,0.086579874,0.95070314,0.1888885,0.9892188,0.031033246,0.3478718253225088
5,0.9928672,0.019498663,0.9902969,0.026551828,0.99078906,0.025995212,0.9926172,0.020569991,0.09261570428125561,0.9878125,0.034725748,0.9873437,0.0350299,0.9858594,0.04129047,0.98976564,0.027024208,0.13807031564414501
6,0.9940625,0.016582293,0.9921641,0.022486657,0.9916172,0.02362308,0.9939609,0.016840868,0.07953292938508093,0.9935156,0.019288652,0.9916406,0.025809797,0.99015623,0.026107164,0.99507815,0.01597913,0.08718474805355073
